18, 30
18, 30
19, 30
20, 31
20, 32
20, 32
19, 31
18, 30
18, 30
19, 30
19, 31
19, 32
19, 32
19, 31
18, 31
19, 31
20, 31
20, 32
19, 32
19, 32
19, 32
21, 31
21, 30
21, 30
20, 31
19, 32
18, 32
18, 32
18, 31
19, 31
18, 31
19, 32
19, 33
18, 33
18, 33
18, 32
21, 31
21, 31
20, 31
19, 31
18, 32
18, 32
18, 32
18, 32
18, 31
21, 32
18, 33
17, 33
17, 33
17, 33
17, 33
18, 32
18, 32
18, 32
18, 32
17, 33
19, 33
20, 32
21, 32
19, 32
17, 32
16, 32
16, 33
17, 33
18, 33
18, 33
18, 32
18, 32
18, 32
18, 33
18, 33
17, 33
17, 32
17, 32
17, 32
