10, 31
10, 31
10, 32
10, 33
10, 33
9, 32
9, 32
8, 31
8, 31
9, 32
9, 32
10, 33
10, 32
10, 32
10, 32
9, 32
10, 32
9, 33
10, 33
11, 33
11, 33
11, 32
11, 31
11, 31
10, 32
10, 33
10, 33
10, 33
9, 32
10, 32
16, 32
15, 33
15, 33
12, 34
11, 34
11, 33
11, 33
13, 32
12, 32
10, 33
11, 33
13, 33
13, 33
15, 33
16, 32
17, 33
17, 33
17, 34
17, 34
17, 34
16, 34
17, 33
17, 33
15, 33
17, 33
17, 34
18, 34
17, 33
17, 33
16, 33
10, 33
11, 33
12, 33
13, 34
14, 34
15, 34
15, 33
16, 33
16, 33
16, 33
15, 33
14, 34
13, 33
11, 33
10, 33
